Name,Address,Latitude,Longitude,Bairro
Barra da Tijuca,"Rua Sylvio da Rocha Pollis, 751, Barra da Tijuca, Rio de Janeiro - RJ",-23.0085414,-43.4311063,Barra da Tijuca
Vila Valqueire,"Rua das Camélias, 478, Vila Valqueire, Rio de Janeiro - RJ",-22.8806386,-43.3667103,Vila Valqueire
Anchieta,"Rua Cardoso de Castro, Nº25 - Anchieta, Rio de Janeiro - RJ",-22.8234708,-43.4061695,Nº25 - Anchieta
Guaratiba,"Estrada da ilha, 1398, Guaratiba, Rio de Janeiro - RJ",-22.9754322,-43.5725623,Guaratiba
Santa Cruz,"Rua Felipe Cardoso 2810, Santa Cruz, Rio de Janeiro - RJ",-22.9188646,-43.6827367,Santa Cruz
Centro,"Rua dos Inválidos 212, Centro, Rio de Janeiro - RJ",-22.9139159,-43.1841638,Centro
Piedade,"Rua Clarimundo de Melo 339, Piedade, Rio de Janeiro - RJ",-22.8962178,-43.3104735,Piedade
Seropédica,"Estrada Rio São Paulo, 310 - Km 39, Seropédica, Rio de Janeiro - RJ",-22.8109655,-43.6314242,Seropédica
Ramos,"Rua Sargento Ferreira 40, Ramos, Rio de Janeiro - RJ",-22.8535244,-43.2543039,Ramos
Vila da Penha,"Av. Brás de Pina, 1309 – Vila da Penha - Rio de Janeiro - RJ",-22.8386091,-43.3119964,Vila da Penha
Campo Grande,"Estrada da Cachamorra, 4501 - Campo Grande, Rio de Janeiro - RJ",-22.913050,-43.577280,Campo Grande
Méier,"Rua Arquias Cordeiro, 302 - Méier , Rio de Janeiro - RJ",-22.8978273, -43.2822006,Méier
Bangu - Padre Miguel,"Av. de Santa Cruz, 2255 – Padre Miguel, Rio de Janeiro - RJ",-22.8762448, -43.4515673,Bangu
Tijuca,"Rua Pereira Nunes, 395 – Tijuca, Rio de Janeiro - RJ",-22.9197783, -43.2387272,Tijuca
Botafogo,"Rua Arnaldo Quintela, 63 – Botafogo, Rio de Janeiro - RJ",-22.9552566, -43.1831171,Botafogo
Ilha do Governador,"Estrada do Galeão, 2835 – Portuguesa, Ilha do Governador, Rio de Janeiro – RJ",-22.8070467,-43.1975418,Ilha do Governador
